reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
11,30,7,0,0,0,0,18.93755090200284,19.829604825004935,19.829604825004935,19.946229138004128,t,2.7174555600213353,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
109,121,223,0,1,1,9,22.610362153995084,23.597007103002397,23.597007103002397,23.613435070001287,l,0.9641260930075077,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
87,85,188,0,2,2,7,24.586800357996253,25.5797834279947,25.5797834279947,25.596462178000365,t,0.9701910989970202,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
67,65,119,0,3,3,5,26.585824519992457,27.56415972999821,27.56415972999821,27.597239958995488,l,0.5393748659989797,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
78,80,162,0,4,4,6,28.134705759992357,29.129857273001107,29.129857273001107,29.146133015005034,l,0.5514496090036118,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
15,35,13,0,5,5,1,29.721875225004624,30.713943566996022,30.713943566996022,30.73017394800263,l,0.6927980000036769,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
98,90,200,0,6,6,8,31.433876098992187,32.42989813799795,32.42989813799795,32.44672250900476,t,0.6154682720080018,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
49,60,89,0,7,7,4,33.071103744994616,34.0638537289924,34.0638537289924,34.081016918993555,t,0.6648482440068619,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
40,55,62,0,8,8,3,34.75266393899801,35.747613686995464,35.747613686995464,35.76407013699645,l,0.4068408220045967,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
27,50,21,0,9,9,2,36.18452120399161,37.16436541899748,37.16436541899748,37.197034873999655,t,0.8649343620054424,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
78,80,162,1,0,10,6,38.05211516900454,39.04747175499506,39.04747175499506,39.06465601899254,l,0.4178285300004063,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
98,90,200,1,1,11,8,39.49817435200384,40.49743130199204,40.49743130199204,40.49743130199204,t,0.7398611579992576,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
67,65,119,1,2,12,5,41.27309357699414,42.24759025199455,42.24759025199455,42.28151893499307,l,0.641029446007451,None,155103,001,2023-11-23_22h50.03.598,discounting ,2023.1.3,60.04232143385564,
