trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,13.46573734,14.46504239,14.46504239,14.46504239,14.76535943,0.5,up,1,2.008536918,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
1,0,1,0,16.50099305,17.51535204,17.49826463,17.49826463,17.79841989,0.5,down,0,0.51834692,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
2,0,2,0,18.05161115,19.06528075,19.04905837,19.04905837,19.34900329,0.5,up,1,0.341442517,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
3,0,3,0,19.41817553,20.43225651,20.41513715,20.41513715,20.71546487,0.5,up,1,0.544246833,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
4,0,4,0,20.98546922,21.99857017,21.98221011,21.98221011,,0.5,down,0,0.031370875,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
5,0,5,0,22.03513346,23.04951267,23.03213668,23.03213668,23.33163595,-2,up,0,0.793948793,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
6,0,6,0,23.85135026,24.86578087,24.8488157,24.8488157,,0.5,down,0,0.244191398,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
7,0,7,0,25.11781054,26.13240366,26.11605518,26.11605518,26.41601172,-4,down,1,0.324674946,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
8,0,8,0,26.46827541,27.48225082,27.46565027,27.46565027,,-4,up,0,0.122802346,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
9,0,9,0,27.61799678,28.63268163,28.61594019,28.61594019,28.91643286,0.5,down,0,0.311085244,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
10,0,10,0,28.95145857,29.96574997,29.94953709,29.94953709,,0.5,down,0,0.10147627,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
11,0,11,0,30.0858923,31.09948674,31.08293344,31.08293344,,-4,down,1,0.194287543,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
12,0,12,0,31.30282669,32.31597747,32.29982817,32.29982817,,-3,down,1,0.089258648,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
13,0,13,0,32.41834091,33.43277488,33.4159026,33.4159026,,0.5,down,0,0.055004857,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
14,0,14,0,33.50212686,34.51646191,34.49961471,34.49961471,,-2,down,1,0.138662797,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
15,0,15,0,34.6684383,35.68379648,35.66673799,35.66673799,35.96652868,-3,up,0,0.549673252,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
16,0,16,0,36.23668197,37.24990807,37.23288629,37.23288629,37.53274558,-2,down,1,0.415861012,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
17,0,17,0,37.67035951,38.68350302,38.66699736,38.66699736,,-2,down,1,0.053804265,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
18,0,18,0,38.75211318,39.76623962,39.75033219,39.75033219,,-3,down,1,0.003320864,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
19,0,19,0,39.7855592,40.79942332,40.78376705,40.78376705,41.08437236,-3,up,0,0.500146455,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
20,0,20,0,41.30362934,42.31686713,42.3005664,42.3005664,42.60027701,0.5,down,0,0.502471318,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
21,0,21,0,42.83639229,43.85053165,43.83344877,43.83344877,44.13376198,-4,up,0,0.571278748,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
22,0,22,0,44.43650357,45.45023325,45.43394569,45.43394569,45.73331207,-4,down,1,0.465668309,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
23,0,23,0,45.9207137,46.93373958,46.91882757,46.91882757,47.23443008,0.5,down,0,0.446633906,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
24,0,24,0,47.3875011,48.40051526,48.38423586,48.38423586,48.68448171,0.5,down,0,0.35659702,None,247063,1,2023-09-11_11h58.19.188,Orientationdiscrimination,2023.1.3,59.32857578
