pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
-50,x,0,0,0,0,,,,,15.23943183,16.21336938,16.21336938,16.21336938,16.21336938,16.24772675,17.21411163,17.21411163,x,1,1.767878408,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,0,1,1,1,,,,,19.05672779,20.04789648,20.04789648,20.04789648,20.04789648,20.06422921,21.04754818,21.04754818,v,1,1.533794549,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,0,2,2,2,,,,,22.60573364,23.59714219,23.59714219,23.59714219,23.59714219,23.61442615,24.59760647,24.59760647,c,1,1.027366876,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,0,3,3,3,,,,,25.65675869,26.64705804,26.64705804,26.64705804,26.64705804,26.66467852,27.64818059,27.64818059,z,1,0.685902932,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,1,0,4,0,,,,,28.37050383,29.36436351,29.36436351,29.36436351,29.36436351,29.38149937,30.36510248,30.36510248,c,1,0.484483773,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,1,1,5,1,,,,,30.88619234,31.88093124,31.88093124,31.88093124,31.88093124,31.89872857,32.88169828,32.88169828,v,1,0.839429616,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,1,2,6,2,,,,,33.75629956,34.74785497,34.74785497,34.74785497,34.74785497,34.7652907,35.74844672,35.74844672,c,1,0.425265341,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,1,3,7,3,,,,,36.20578637,37.19941096,37.19941096,37.19941096,37.19941096,37.21531494,38.19928318,38.19928318,z,1,0.674768156,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,2,0,8,0,,,,,38.90583571,39.90115741,39.90115741,39.90115741,39.90115741,39.91585708,40.89923103,40.89923103,x,1,0.291338852,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,2,1,9,1,,,,,41.22253594,42.21575533,42.21575533,42.21575533,42.21575533,42.23252118,43.21631074,43.21631074,v,1,0.919460189,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,2,2,10,2,,,,,44.17108189,45.1656446,45.1656446,45.1656446,45.1656446,45.18273388,46.16645421,46.16645421,c,1,0.497761014,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,2,3,11,3,,,,,46.68987862,47.68289178,47.68289178,47.68289178,47.68289178,47.70020705,48.68349094,48.68349094,z,1,0.634022323,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,3,0,12,0,,,,,49.35441047,50.34945693,50.34945693,50.34945693,50.34945693,50.36651763,51.35022583,51.35022583,x,1,0.800666789,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,3,1,13,1,,,,,52.18729327,53.18268315,53.18268315,53.18268315,53.18268315,53.19977817,54.18333754,54.18333754,c,1,0.348381921,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,3,2,14,2,,,,,54.56161856,55.55010245,55.55010245,55.55010245,55.55010245,55.56679688,56.54972295,56.54972295,c,1,1.032801345,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,3,3,15,3,,,,,57.60838973,58.59965956,58.59965956,58.59965956,58.59965956,58.61719792,59.60084536,59.60084536,z,1,0.771879893,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,4,0,16,0,,,,,60.40765131,61.40028982,61.40028982,61.40028982,61.40028982,61.41703445,62.40043488,62.40043488,x,1,0.982159476,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,4,1,17,1,,,,,63.40852034,64.40076426,64.40076426,64.40076426,64.40076426,64.41772307,65.40045074,65.40045074,v,1,0.951504174,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,4,2,18,2,,,,,66.39047263,67.38369472,67.38369472,67.38369472,67.38369472,67.40124748,68.38413542,68.38413542,c,1,0.777127676,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,4,3,19,3,,,,,69.19167889,70.18395785,70.18395785,70.18395785,70.18395785,70.20102636,71.18481031,71.18481031,z,1,0.600404787,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,5,0,20,0,,,,,71.82434792,72.81775421,72.81775421,72.81775421,72.81775421,72.83476896,73.81885461,73.81885461,x,1,0.366507864,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,5,1,21,1,,,,,74.22214895,75.21857476,75.21857476,75.21857476,75.21857476,75.23502597,76.2183326,76.2183326,v,1,0.511488174,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,5,2,22,2,,,,,76.76147463,77.75339549,77.75339549,77.75339549,77.75339549,77.76744469,78.75148626,78.75148626,c,1,0.554534627,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,5,3,23,3,,,,,79.34200966,80.33455775,80.33455775,80.33455775,80.33455775,80.35135212,81.33509801,81.33509801,z,1,0.553562787,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,6,0,24,0,,,,,81.92312709,82.91856292,82.91856292,82.91856292,82.91856292,82.93536431,83.91895688,83.91895688,x,1,0.583868466,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,6,1,25,1,,,,,84.54036449,85.53475085,85.53475085,85.53475085,85.53475085,85.55205147,86.53556347,86.53556347,v,1,0.911039928,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
50,c,6,2,26,2,,,,,87.47581839,88.46873444,88.46873444,88.46873444,88.46873444,88.48559161,89.46945721,89.46945721,c,1,0.434861409,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-150,z,6,3,27,3,,,,,89.94231145,90.93546655,90.93546655,90.93546655,90.93546655,90.95226361,91.93581624,91.93581624,z,1,0.654512102,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
-50,x,7,0,28,0,,,,,92.62558159,93.61879784,93.61879784,93.61879784,93.61879784,93.63583215,94.61961032,94.61961032,x,1,0.40308465,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
150,v,7,1,29,1,,,,,95.0598242,96.05337805,96.05337805,96.05337805,96.05337805,96.06968182,97.05353523,97.05353523,v,1,0.80925487,None,794763,1,2023-10-16_12h10.11.535,Sequential learning ,2023.1.3,59.05979918
