trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,9.043618863,9.541781383,9.541781383,9.558347193,9.841834073,left,-10,1,1,1.321122029,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
1,2,8,10.92109164,11.4085636,11.4085636,11.42535268,11.70943576,left,-8,1,1,0.970868095,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
2,2,6,12.40920608,12.89199014,12.89199014,12.9085068,13.19327488,right,6,1,1,0.625416899,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
3,2,4,13.54121621,14.02552665,14.02552665,14.04205585,14.32542059,left,-4,1,1,0.587781148,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
4,2,2,14.64209511,15.14171079,15.14171079,15.14171079,15.44238361,left,-2,1,1,0.593723169,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
5,2,1,15.75814422,16.25902381,16.25902381,16.25902381,16.55900111,right,1,1,1,0.572051029,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
6,2,1,16.85799416,17.34207423,17.34207423,17.3589258,17.64218071,right,1,1,1,0.427462481,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
7,2,1,17.79438107,18.29238916,18.29238916,18.30928856,18.59259766,right,1,1,1,0.6335473,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
8,2,1,18.94336315,19.44251921,19.44251921,19.44251921,19.7428072,right,1,1,1,0.683771723,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
9,1,1,20.14239503,20.64279913,20.64279913,20.64279913,20.943367,left,-1,0,0,0.433126593,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
10,1,2,21.09255002,21.59339947,21.59339947,21.59339947,21.89217586,left,-2,1,1,0.384212108,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
11,1,2,21.99306389,22.49294105,22.49294105,22.49294105,22.79262662,right,2,1,1,0.33400413,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
12,1,2,22.84328013,23.34238251,23.34238251,23.34238251,,right,2,0,0,0.233458787,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
13,1,3,23.59221381,24.07599537,24.07599537,24.09294882,24.37624657,right,3,1,1,0.370025289,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
14,1,3,24.47642137,24.96364147,24.96364147,24.97541802,,right,3,0,0,0.228176786,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
15,1,4,25.20871458,25.70938326,25.70938326,25.70938326,26.00969924,left,-4,0,0,0.492616974,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
16,1,5,26.22687169,26.72689615,26.72689615,26.72689615,27.02603528,left,-5,0,0,0.716010195,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
17,1,6,27.45970407,27.96052823,27.96052823,27.96052823,28.2601861,left,-6,0,0,0.298949095,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
18,1,7,28.27678861,28.77654152,28.77654152,28.77654152,29.07660642,left,-7,0,0,0.549505713,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
19,1,8,29.34331405,29.84311094,29.84311094,29.84311094,,left,-8,1,1,0.168404679,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
20,1,8,30.04273762,30.52665582,30.52665582,30.54324694,,right,8,0,0,0.05281288,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
21,1,9,30.60981661,31.09288824,31.09288824,31.10938602,,left,-9,1,1,0.003404944,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
22,1,9,31.12571769,31.61122209,31.61122209,31.62622062,31.91150246,right,9,0,0,0.499900345,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
23,1,10,32.1273915,32.62608042,32.62608042,32.62608042,32.92692296,right,10,1,1,0.600932739,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
24,1,10,33.24362066,33.74354527,33.74354527,33.74354527,,left,-10,0,0,0.088439123,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
25,1,11,33.85908538,34.34344193,34.34344193,34.35937972,34.64366888,right,11,1,1,0.449285342,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
26,1,11,34.80995343,35.29339338,35.29339338,35.30982721,,right,11,1,1,0.153403792,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
27,1,11,35.47673416,35.96042289,35.96042289,35.97909324,,right,11,1,1,0.059500264,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
28,1,10,36.04312633,36.52687155,36.52687155,36.54361837,,right,10,1,1,0.03378671,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
29,0.5,10,36.57780773,37.07742363,37.07742363,37.07742363,37.37711763,left,-10,0,0,0.700162221,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
30,0.5,10.5,37.79367428,38.29377309,38.29377309,38.29377309,38.59395699,left,-10.5,0,0,0.350356452,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
31,0.5,11,38.66088252,39.16058283,39.16058283,39.16058283,39.45960054,right,11,1,1,0.284540092,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
32,0.5,11,39.47633888,39.96096462,39.96096462,39.97780877,40.26052605,right,11,1,1,0.398760786,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
33,0.5,11,40.3774004,40.86057848,40.86057848,40.87720082,41.16177323,left,-11,0,0,89.10342119,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
34,0.5,11.5,130.0796092,130.5178828,130.5178828,130.5880346,130.8225146,left,-11.5,0,0,1.371939747,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
35,0.5,12,131.9236541,132.4212359,132.4212359,132.4381182,132.7218816,right,12,1,1,0.535144851,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
36,0.5,12,132.9824155,133.4718233,133.4718233,133.4890284,133.807201,left,-12,1,1,0.65099656,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
37,0.5,12,134.1576266,134.6544854,134.6544854,134.671766,134.9548446,right,12,1,1,0.890677227,152329,1,2023-09-07_17h53.14.465,Adaptive_staircasevanshi,2023.1.3,60.14823159
,,,135.5754707,136.071765,136.071765,136.0893301,136.3891984,,,,,,,,,,,
,,,,,,,,,Absolute threshold ,0.6,,,,,,,,
